year,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2015,Boppers,,,281,10.0,941,8.0,116,9.0,0.2699,10.0,70,2.0,52,3.5,3.75,8.0,1.214,9.0,,,59.5
2015,Mashers,,,275,9.0,905,6.0,101,6.0,0.2606,7.0,92,9.0,58,7.0,3.76,7.0,1.251,6.0,,,57.0
2015,Thunder & Lightning,,,237,7.0,971,10.0,132,10.0,0.2623,8.0,85,6.5,45,1.0,3.84,6.0,1.234,8.0,,,56.5
2015,Livn Lex,,,217,3.0,807,4.0,96,5.0,0.2529,2.0,114,10.0,77,10.0,3.54,10.0,1.168,10.0,,,54.0
2015,Gusteroids,,,227,4.0,950,9.0,110,7.0,0.2671,9.0,77,4.0,54,5.0,4.15,2.0,1.249,7.0,,,47.0
2015,R&R,,,239,8.0,917,7.0,94,4.0,0.2543,4.0,85,6.5,64,8.0,4.04,4.0,1.306,2.0,,,43.5
2015,Shrooms,,,229,5.0,892,5.0,114,8.0,0.2533,3.0,89,8.0,52,3.5,3.89,5.0,1.264,4.0,,,41.5
2015,Brosox,,,196,2.0,767,2.0,63,1.0,0.2595,5.0,84,5.0,71,9.0,3.71,9.0,1.251,5.0,,,38.0
2015,Roof Guy,,,236,6.0,802,3.0,93,3.0,0.2597,6.0,72,3.0,48,2.0,4.2,1.0,1.28,3.0,,,27.0
2015,Trollers,,,166,1.0,710,1.0,91,2.0,0.2483,1.0,68,1.0,57,6.0,4.1,3.0,1.325,1.0,,,16.0
2016,Gusteroids,,,278,9.0,937,9.0,107,8.0,0.2601,4.0,87,10.0,32,3.0,3.94,7.0,1.267,7.0,,,57.0
2016,Boppers,,,236,7.0,902,8.0,137,11.0,0.2606,6.0,75,7.0,75,9.0,3.95,6.0,1.28,3.0,,,57.0
2016,mean machine,,,225,2.0,830,6.0,61,2.0,0.2624,9.0,88,11.0,74,8.0,3.76,11.0,1.268,6.0,,,55.0
2016,Roof Guy,,,277,8.0,896,7.0,81,4.0,0.2689,11.0,77,8.0,40,4.0,4.08,3.0,1.255,8.0,,,53.0
2016,R&R,,,289,10.0,963,10.5,106,7.0,0.2634,10.0,86,9.0,19,1.0,4.36,1.0,1.29,2.0,,,50.5
2016,Mashers,,,230,4.0,804,4.0,85,5.0,0.2616,8.0,69,3.0,54,7.0,3.9,9.0,1.244,9.0,,,49.0
2016,Trollers,,,295,11.0,963,10.5,64,3.0,0.2603,5.0,72,4.5,41,5.0,4.04,4.0,1.269,5.0,,,48.0
2016,Livn Lex,,,233,5.0,758,2.0,104,6.0,0.2607,7.0,72,4.5,53,6.0,3.98,5.0,1.226,11.0,,,46.5
2016,Thunder & Lightning,,,234,6.0,805,5.0,111,9.0,0.2564,2.0,74,6.0,83,10.0,4.12,2.0,1.302,1.0,,,41.0
2016,Shrooms,,,151,1.0,642,1.0,118,10.0,0.2584,3.0,56,1.5,110,11.0,3.9,8.0,1.271,4.0,,,39.5
2016,Taylor Applebaum,,,227,3.0,759,3.0,42,1.0,0.2467,1.0,56,1.5,28,2.0,3.77,0.0,1.24,0.0,,,11.5
2017,Dancing With The Dingos,,,307,9.0,978,9.0,98,6.0,0.2599,5.0,85,10.0,65,8.0,3.6,11.0,1.191,11.0,,,69.0
2017,Shrooms,,,257,6.0,959,8.0,120,8.0,0.2683,11.0,77,7.0,78,11.0,3.68,10.0,1.242,8.0,,,69.0
2017,R&R,,,328,10.0,1036,11.0,119,7.0,0.264,9.0,81,8.0,45,5.0,3.7,9.0,1.228,9.0,,,68.0
2017,Mashers,,,271,7.0,944,7.0,126,10.0,0.2601,6.0,84,9.0,51,6.0,4.15,6.0,1.305,5.0,,,56.0
2017,Roof Guy,,,331,11.0,991,10.0,90,3.0,0.2627,8.0,59,2.0,77,10.0,4.66,2.0,1.335,4.0,,,50.0
2017,Thunder & Lightning,,,281,8.0,921,6.0,121,9.0,0.2659,10.0,65,3.0,74,9.0,3.92,0.0,1.198,0.0,,,45.0
2017,Trollers,,,252,5.0,844,5.0,56,1.0,0.2488,3.0,86,11.0,12,1.0,4.36,5.0,1.301,6.0,,,37.0
2017,Livn Lex,,,221,3.0,725,2.0,95,5.0,0.2477,2.0,70,5.0,38,4.0,4.07,7.0,1.285,7.0,,,35.0
2017,Boppers,,,234,4.0,754,3.0,131,11.0,0.2612,7.0,56,1.0,52,7.0,4.44,0.0,1.363,0.0,,,33.0
2017,Gusteroids,,,209,2.0,840,4.0,93,4.0,0.2586,4.0,67,4.0,24,3.0,4.41,4.0,1.336,3.0,,,28.0
2017,mean machine,,,181,1.0,645,1.0,66,2.0,0.2456,1.0,72,6.0,13,2.0,4.85,1.0,1.387,1.0,,,15.0
2018,Mashers,,,243,6.0,910,9.0,129,11.0,0.2692,11.0,90,11.0,73,9.5,3.7,10.0,1.196,9.0,,,76.5
2018,Kerry & Mitch,,,262,9.0,923,10.0,108,7.0,0.2457,6.0,76,8.0,49,5.0,3.71,9.0,1.186,10.0,,,64.0
2018,R&R,,,252,7.0,821,5.0,82,3.0,0.2414,1.0,82,10.0,75,11.0,3.51,11.0,1.164,11.0,,,59.0
2018,Gusteroids,,,272,11.0,933,11.0,125,10.0,0.2642,10.0,64,4.5,19,1.0,4.12,3.0,1.283,3.0,,,53.5
2018,mean machine,,,228,5.0,839,6.0,111,8.0,0.2627,9.0,63,3.0,55,7.0,3.84,7.0,1.26,5.0,,,50.0
2018,HAMMERHEADS,,,211,3.0,765,2.0,61,1.0,0.2487,7.0,78,9.0,54,6.0,3.72,8.0,1.233,6.0,,,42.0
2018,Thunder & Lightning,,,225,4.0,769,4.0,102,6.0,0.2445,4.0,73,6.0,37,4.0,3.89,6.0,1.212,7.0,,,41.0
2018,Boppers,,,261,8.0,892,7.0,113,9.0,0.2572,8.0,58,2.0,30,2.0,4.48,2.0,1.324,2.0,,,40.0
2018,Livn Lex,,,266,10.0,895,8.0,93,4.0,0.2456,5.0,64,4.5,33,3.0,4.73,1.0,1.39,1.0,,,36.5
2018,Shrooms,,,197,2.0,766,3.0,70,2.0,0.2434,2.0,74,7.0,73,9.5,4.06,5.0,1.274,4.0,,,34.5
2018,#TrustTheProcess,,,175,1.0,635,1.0,99,5.0,0.2443,3.0,54,1.0,66,8.0,4.09,4.0,1.2,8.0,,,31.0
2019,Gusteroids,1123.0,11.0,346,11.0,1068,11.0,104,9.0,0.2841,11.0,69,5.5,70,10.0,4.2,5.0,1.224,9.0,1102.0,7.0,89.5
2019,HAMMERHEADS,952.0,8.0,272,5.0,830,2.0,111,10.0,0.2481,1.0,84,11.0,39,4.5,4.03,9.0,1.226,8.0,1287.0,11.0,69.5
2019,Thunder & Lightning,986.0,10.0,311,8.0,1015,10.0,81,3.0,0.2526,3.0,79,10.0,39,4.5,4.19,6.0,1.243,6.0,1237.0,9.0,69.5
2019,Dancing With Dingos,922.0,6.0,282,7.0,884,6.0,85,4.0,0.256,8.0,66,3.5,49,8.0,3.95,10.0,1.26,5.0,1223.0,8.0,65.5
2019,Shrooms,876.0,3.0,238,2.0,856,5.0,88,6.0,0.2593,10.0,76,9.0,47,7.0,4.35,4.0,1.237,7.0,1285.0,10.0,63.0
2019,mean machine,920.0,5.0,327,10.0,941,8.0,117,11.0,0.2553,6.0,62,2.0,61,9.0,4.37,3.0,1.316,3.0,994.0,1.0,58.0
