year,eff_date,team,player_name,mlb_team,transaction,submitted
2015,10.05,Gusteroids,JHamilton,Tex,Release,09.29 @ 06:58
2015,10.05,Mashers,DJennings,CWS,Release,09.29 @ 06:55
2015,10.05,Mashers,JSingleton,Hou,Release,09.29 @ 06:54
2015,10.05,Mashers,PTucker,Hou,Release,09.29 @ 06:54
2015,10.05,Mashers,JPirela,NYY,Release,09.29 @ 06:54
2015,10.05,Mashers,RRefsnyder,NYY,Release,09.29 @ 06:54
2015,10.05,Mashers,VVelasquez,Hou,Release,09.29 @ 06:54
2015,10.05,R&R,DPompey,Tor,Release,09.29 @ 06:56
2015,10.05,Roof Guy,JVillar,Hou,Release,09.29 @ 06:57
2015,10.05,Roof Guy,CCowgill,LAA,Release,09.29 @ 06:57
2015,10.05,Thunder & Lightning,JCastro,Hou,Release,09.29 @ 06:58
2015,09.28,R&R,JPetricka,CWS,Waive,09.28 @ 11:24
2015,09.28,R&R,INova,NYY,Waive,09.28 @ 11:24
2015,09.28,R&R,NMartinez,Tex,Activate,09.28 @ 11:24
2015,09.28,R&R,DNorris,Det,Activate,09.28 @ 11:24
2015,09.21,R&R,SFeldman,Hou,Disable,09.21 @ 12:00
2015,09.21,R&R,RDull,Oak,Add to Actives,09.21 @ 12:00
2015,09.21,Shrooms,NEovaldi,NYY,Waive,09.19 @ 21:34
2015,09.21,Shrooms,DFarquhar,Sea,Activate,09.19 @ 21:34
2015,09.21,Trollers,JChavez,Oak,Disable,09.21 @ 12:00
2015,09.21,Trollers,JWeaver,LAA,Add to Actives,09.21 @ 12:00
2015,09.14,Boppers,WHarris,Hou,Waive,09.14 @ 20:48
2015,09.14,Boppers,SDoolittle,Oak,Activate,09.14 @ 20:48
2015,09.14,Gusteroids,WVenable,Tex,Waive,09.07 @ 15:22
2015,09.14,Gusteroids,AHicks,Min,Activate,09.07 @ 15:22
2015,09.14,Roof Guy,GGreen,LAA,Waive,09.12 @ 13:10
2015,09.14,Roof Guy,JSucre,Sea,Waive,09.12 @ 13:10
2015,09.14,Roof Guy,SSouza,TB,Activate,09.12 @ 13:10
2015,09.14,Roof Guy,RChirinos,Tex,Activate,09.12 @ 13:10
2015,09.07,Boppers,BGuyer,TB,Purchase for 10,09.07 @ 15:17
2015,09.07,Boppers,BHolt,Bos,Change Position to 3B,09.07 @ 15:17
2015,09.07,Boppers,HRamirez,Bos,Disable,09.07 @ 15:17
2015,09.07,Boppers,KCalhoun,LAA,Change Position to 1B,09.07 @ 15:17
2015,09.07,Mashers,KMarte,Sea,Change Position to SS,09.07 @ 15:20
