player_name,team,pos_type,position,projection_system,fg_id,mlbam_id,PA,AB,IP,R,HR,RBI,SB,AVG,W,SV,ERA,WHIP,SO,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,total_sgp,par,dollar_value,is_pitcher,msp,delta_rank_R,delta_rank_HR,delta_rank_RBI,delta_rank_SB,delta_rank_AVG,delta_rank_W,delta_rank_SV,delta_rank_SO,delta_rank_ERA,delta_rank_WHIP,msp_per_dollar,team_rank_R,team_rank_HR,team_rank_RBI,team_rank_SB,team_rank_AVG,team_rank_W,team_rank_SV,team_rank_SO,team_rank_ERA,team_rank_WHIP,team_baseline_pts,tps
Logan Gilbert,SEA,pitcher,SP,atc,22250,669302,,,167.796,,,,,,10.5284,0.0,3.42756,1.04643,187.772,0.0,0.0,0.0,0.0,0.0,3.5094666666666665,0.0,5.263405746320953,1.2969046903411765,2.393914073458388,12.463691176787185,7.848276864588745,44.10848010386432,True,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.13602826453941547,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,98
Gunnar Henderson,BAL,hitter,SS,atc,26289,683002,659.777,581.686,,97.0296,26.3683,82.4762,23.9613,0.269652,,,,,,3.048973332568688,2.1665155768572406,2.673884176876753,2.313073866884112,0.9462727634186512,0.0,0.0,0.0,0.0,0.0,11.148719716605443,6.842454035507161,38.45560661201123,False,5.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13002005274409842,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,90
Maikel Garcia,KCR,hitter,3B,atc,22715,672580,639.538,576.497,,82.8861,12.3817,65.4109,26.1166,0.268023,,,,,,2.6045403520226973,1.0173255734337556,2.1206259564003624,2.521133033344,0.8907121312395767,0.0,0.0,0.0,0.0,0.0,9.154337046440393,4.848071365342107,27.24688018145141,False,5.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.18350724804830318,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,90
Framber Valdez,DET,pitcher,SP,atc,17295,664285,,,185.144,,,,,,12.7327,0.0,3.48816,1.22804,172.813,0.0,0.0,0.0,0.0,0.0,4.244233333333333,0.0,4.844092501751927,1.340676030007249,1.1691475957056774,11.598149460798188,6.982735148599747,39.24400727530976,True,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.12740798779603055,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,90
Josh Naylor,SEA,hitter,1B,atc,18839,647304,604.046,543.762,,73.9827,21.5629,85.7521,17.3728,0.261536,,,,,,2.324767693275345,1.7716864087641218,2.780089084171591,1.6770613311716935,0.6631514364077066,0.0,0.0,0.0,0.0,0.0,9.21675595379046,4.910490272692175,27.59768369927553,False,5.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18117462517809982,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,90
Steven Kwan,CLE,hitter,OF,atc,24610,680757,637.762,569.716,,78.9084,8.51272,53.6649,17.464,0.271745,,,,,,2.479548584304821,0.6994360835330365,1.7398198142454824,1.6858652081174277,0.9866287767704672,0.0,0.0,0.0,0.0,0.0,7.591298466971235,3.285032785872951,18.46237152132015,False,5.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2708211127820742,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,90
Andrés Muñoz,SEA,pitcher,RP,atc,20373,662253,,,62.2277,,,,,,3.65925,33.9686,2.90923,1.12209,76.6975,0.0,0.0,0.0,0.0,0.0,1.21975,5.304743226720761,2.1498948843728103,0.7405913680946262,0.681639046911388,10.096618526099585,5.481204213901145,30.80518070213935,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.16231036098589616,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,90
José Ramírez,CLE,hitter,3B,atc,13510,608070,648.819,574.841,,91.9541,27.7532,88.7823,33.2031,0.273206,,,,,,2.889485257285966,2.280304005477576,2.878328380268792,3.205219370799574,1.037642654847563,0.0,0.0,0.0,0.0,0.0,12.290979668679473,7.9847139875811886,44.87527697262591,False,5.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11141992511934844,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,90
Yordan Alvarez,HOU,hitter,DH/OF,atc,19556,670541,558.79,474.972,,77.6861,29.3619,86.2624,3.46793,0.291388,,,,,,2.441140097570889,2.4124806573091404,2.7966330458897617,0.3347722475484809,1.290671205300292,0.0,0.0,0.0,0.0,0.0,9.275697253618564,4.969431572520279,27.928942546997146,False,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1790257540752322,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,90
Nolan Schanuel,LAA,hitter,1B,atc,33189,694384,598.241,516.61,,70.0933,12.5663,57.1776,6.2265,0.261034,,,,,,2.202550587570564,1.0324929818555288,1.853701794115008,0.601067322397112,0.6170257981349851,0.0,0.0,0.0,0.0,0.0,6.306838484073198,2.000572802974914,11.24351589512573,False,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3557606034722709,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,99
Robert Garcia,TEX,pitcher,RP,atc,23363,676395,,,61.1682,,,,,,3.50248,17.8831,3.64685,1.22295,65.8542,0.0,0.0,0.0,0.0,0.0,1.1674933333333333,2.79273368928275,1.8459481429572533,0.3648009097511147,0.3998976998300141,6.570873775154467,1.955459462956027,10.98997223261552,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.363968162551766,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,99
Luis Castillo,SEA,pitcher,SP,atc,15689,622491,,,172.222,,,,,,10.8914,0.0,3.8977,1.1903,160.089,0.0,0.0,0.0,0.0,0.0,3.630466666666667,0.0,4.487428170988087,0.6793641721645257,1.3721430442752691,10.16940205409455,5.553987741896109,31.214234925358724,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.1281466615973459,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Tanner Bibee,CLE,pitcher,SP,atc,30134,676440,,,174.513,,,,,,10.8523,0.0,3.98731,1.2226,163.637,0.0,0.0,0.0,0.0,0.0,3.617433333333333,0.0,4.5868815697267,0.5625237172418055,1.1435833985988797,9.910422018900718,5.295007706702278,29.758728713391804,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.13441434405764616,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Bryce Miller,SEA,pitcher,SP,atc,29837,682243,,,140.917,,,,,,8.502,0.0,4.17516,1.20619,126.297,0.0,0.0,0.0,0.0,0.0,2.834,0.0,3.54021023125438,0.2411522979137139,1.024682167003597,7.6400446961716915,3.0246303839732516,16.99887139748841,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.23530973948017522,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,99
MacKenzie Gore,TEX,pitcher,SP,atc,22201,669022,,,158.235,,,,,,9.72606,0.0,3.91498,1.26574,178.143,0.0,0.0,0.0,0.0,0.0,3.24202,0.0,4.993496846531185,0.6021801052891498,0.7380178240183266,9.575714775838662,4.960300463640222,27.877624360685513,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.14348424916869923,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Jack Flaherty,DET,pitcher,SP,atc,17479,656427,,,159.068,,,,,,10.1181,0.0,4.04894,1.24671,175.26,0.0,0.0,0.0,0.0,0.0,3.3727,0.0,4.9126839523475825,0.4338270366643234,0.8744466074664597,9.593657596478367,4.978243284279928,27.978465674116308,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.14296709643018474,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Nathan Eovaldi,TEX,pitcher,SP,atc,9132,543135,,,153.48,,,,,,10.6939,0.0,3.66207,1.12276,148.886,0.0,0.0,0.0,0.0,0.0,3.564633333333333,0.0,4.173398738612474,0.8965358998908081,1.6767094748949931,10.311277446731609,5.695863134533169,32.01159567617464,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.12495472079753558,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
George Kirby,SEA,pitcher,SP,atc,25436,669923,,,165.969,,,,,,11.8582,0.0,3.61756,1.10576,162.396,0.0,0.0,0.0,0.0,0.0,3.952733333333333,0.0,4.552095304835319,1.0289523115304935,1.9366885265373843,11.47046947623653,6.855055164038091,38.52642682346435,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.10382483738574526,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Ranger Suarez,BOS,pitcher,SP,atc,17277,624133,,,164.76,,,,,,11.113,0.0,3.67876,1.24356,148.453,0.0,0.0,0.0,0.0,0.0,3.704333333333333,0.0,4.161261387526279,0.9402920712239956,0.928462086998602,9.734348879082209,5.118934566883769,28.769171550908013,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.1390377193490562,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Sonny Gray,BOS,pitcher,SP,atc,12768,543243,,,167.845,,,,,,11.7757,0.0,3.8102,1.18759,177.361,0.0,0.0,0.0,0.0,0.0,3.925233333333334,0.0,4.971576734407849,0.7803155682573231,1.357186792131887,11.034312428130391,6.418898115931953,36.07515951849041,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.1108796205862871,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Dylan Cease,TOR,pitcher,SP,atc,18525,656302,,,168.955,,,,,,10.6146,0.0,3.70073,1.21901,199.856,0.0,0.0,0.0,0.0,0.0,3.5382,0.0,5.602130343377715,0.9343541216796124,1.1337202832795557,11.208404748336886,6.592990436138446,37.053584180942224,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.10795177007619469,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Corey Seager,TEX,hitter,SS,atc,13624,608369,526.391,458.784,,70.6485,26.4096,75.5962,2.44377,0.273149,,,,,,2.21999670704588,2.1699089352961316,2.450834095314895,0.2359062539876962,0.8268366460203886,0.0,0.0,0.0,0.0,0.0,7.903482637664991,3.597216956566707,20.216892866498064,False,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.19785434024970788,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
