team,R,HR,RBI,SB,W,SV,SO,AVG,ERA,WHIP,keeper_AB,keeper_IP,n_keeper_hitters,n_keeper_pitchers,keeper_salary,team_AB,team_IP,rank_R,rank_HR,rank_RBI,rank_SB,rank_AVG,rank_W,rank_SV,rank_SO,rank_ERA,rank_WHIP,total_pts
Dancing With Dingos,559.5252172978117,172.2755071716661,553.7317638911716,87.26646317236332,61.62887809558368,38.293970536551214,968.5779724680292,0.24949666254732483,3.877099558241958,1.1896886787098016,2456.0570000000002,754.1478,5,5,117,5428.565416586231,1130.0655061253428,3.0,5.0,3.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,65.0
Gusteroids,736.8159956897738,192.49460795160888,687.833634518445,106.13194230967595,30.007669367311497,22.186020101550305,516.4743303582848,0.248750226277905,3.9571172835971695,1.24110971090262,4163.518,124.3976,9,2,68,6449.535995438826,847.1496670854326,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0
HAMMERHEADS,427.4798325008826,115.58310619141359,409.40540068881376,73.7699412761331,36.66724249695564,14.276622648511225,614.1478198862887,0.24803578960555456,3.9895835373307276,1.2449640468298162,1356.222,380.71029999999996,3,4,50,5188.227652051384,851.8626628861417,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,33.0
Kerry & Mitch,373.25630946122,105.82862108373882,365.4670232574192,44.380645687969896,36.6586883738922,8.151322354768512,606.2781499750909,0.2533116253274626,3.9995821404234966,1.2508723500354642,970.6200000000001,368.72900000000004,2,3,71,4472.15685945192,822.9045759680148,1.0,1.0,1.0,1.0,9.0,2.0,1.0,2.0,4.0,3.0,25.0
Kosher Hogs,604.6024971298439,169.70092130589697,592.1177502776901,78.8548960513179,74.67766698514158,38.10704095525014,1124.4677137992203,0.24196865710397175,3.7843219184519796,1.197146146045689,3327.8329999999996,949.2386,8,7,141,6055.4681081940535,1277.7622668570148,7.0,3.0,5.0,4.0,1.0,10.0,8.0,10.0,9.0,8.0,65.0
Mean Machine,815.8568161651872,233.4067686624435,789.3752901217333,169.22428158052398,45.13529203841661,10.10794611495001,701.2740766598487,0.25035063926296297,4.074854505426742,1.2474031882403538,5233.282999999999,421.1594,12,3,172,6236.796503601726,985.2000335079341,10.0,9.0,10.0,10.0,8.0,5.0,3.0,4.0,2.0,4.0,65.0
On a Bender,573.8813692313917,180.7727373012537,602.8517927761516,44.880358466458375,55.59512494378533,8.161628831113893,932.9578410476862,0.24778188641226148,4.06439889817927,1.2760530369748027,2717.434,716.244,6,5,84,5958.569103122171,1171.6768093963,4.0,6.0,7.0,2.0,3.0,7.0,2.0,7.0,3.0,1.0,42.0
R&R,581.107774122564,169.83248319935754,563.6822926768585,100.88900591106774,52.91606010348222,31.974849210287655,779.2554059416418,0.24889616769171113,4.139001129521168,1.2627257383153123,2917.8689999999997,710.5768999999999,6,6,157,5472.024380177798,1009.6609460256498,5.0,4.0,4.0,7.0,6.0,6.0,6.0,5.0,1.0,2.0,46.0
Shrooms,595.6073328135853,181.63456530639965,602.8121312712065,96.52647509184857,44.59262176936938,63.93788530788729,790.3971653967635,0.24616162255820093,3.8178170858677727,1.215247028171663,3209.129,514.7533999999999,7,5,125,5837.378652290236,930.2297595036121,6.0,7.0,6.0,6.0,2.0,4.0,10.0,6.0,8.0,7.0,62.0
Thunder & Lightning,785.7042314943707,237.0134683755176,759.402583827922,111.09688326838702,64.37793847890289,37.70239543654123,1074.7634789855535,0.25360309157976335,3.714494521185651,1.1917726446828891,4131.153,843.0277000000001,8,7,150,6746.693514706627,1158.0503942464527,9.0,10.0,9.0,9.0,10.0,9.0,7.0,9.0,10.0,9.0,91.0
