Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,InterSD,InterSK,IntraSD,Vol,Skew,Dim,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,145.056,512.16,637.642,148.551,76.292,24.6981,1.01428,46.5467,107.67,112.12,114.136,10.08,157.107,6.09238,4.73717,0.516279,9.86233,8.80528,2.56994,0.290048,0.421863,0.614881,1.03674,0.432243,0.178997,0.246387,0.726488,0.324833,3.70265,0.325639,-0.956632,,137.047,61.7042,0.795418,-0.522201,-1.47883,7.71574,60.04500889778137,-6.212133347988129,181.636,1211.1,8.352413793,1211.1,8.352413793,4.11918,1.04458,1.48675,4.11918,-1.04458,3.01767,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,151.257,598.157,659.483,174.139,102.681,36.7092,6.27609,28.4727,100.12,91.9439,48.0938,5.74036,113.067,6.55352,5.98718,0.691294,6.11177,33.8454,9.2245,0.291126,0.347282,0.516284,0.863566,0.365267,0.0729266,0.171448,0.425358,0.225157,7.0033,0.314883,1.30762,,105.879,27.9563,4.97458,1.99075,3.29838,6.68767,31.06815004348755,11.977226734161377,135.627,985.5,6.526490066,985.5,6.526490066,3.31281,0.388673,0.666103,3.31281,-0.388673,4.11186,3.069999933242798,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
BAL,Orioles,152.419,581.686,659.777,156.853,93.4539,32.8255,4.2049,26.3683,97.0296,82.4762,67.2582,3.51968,140.177,5.89746,4.35124,0.584581,9.20921,23.9613,5.04078,0.269652,0.348924,0.476534,0.825458,0.35426,0.101941,0.212462,0.479808,0.206882,6.08951,0.311054,0.805515,,100.03,22.0724,-0.400485,1.65132,2.45683,5.64449,25.80466389656067,6.655945241451263,130.025,910.7,5.991447368,910.7,5.991447368,2.2702,0.32928,0.441061,2.2702,-0.32928,4.41192,12.4399995803833,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,151.723,600.107,660.213,162.889,101.843,28.2013,2.99323,29.8507,94.5235,91.3902,47.3162,3.92878,145.788,8.90574,3.40183,0.482613,10.5045,28.1172,6.49083,0.271433,0.332122,0.47763,0.809751,0.346397,0.0716681,0.220819,0.324555,0.206197,6.04929,0.310931,-0.190054,,95.8816,17.8724,4.61266,1.94778,1.75772,5.56081,24.864798665046692,6.7629218101501465,129.695,897.5,5.904605263,897.5,5.904605263,2.15592,-1.14633,0.271094,2.15592,1.14633,4.63854,9.539999961853027,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
SEA,Mariners,148.707,533.9,618.703,122.495,60.4392,22.2685,0.303513,39.4837,85.3398,100.466,74.7595,8.57148,167.06,5.67702,3.85949,0.506253,5.64864,7.90477,2.25161,0.229434,0.328264,0.49414,0.822404,0.347762,0.120833,0.270016,0.447501,0.264706,3.33548,0.250626,-1.36756,,90.5385,17.434,3.29064,-0.214547,-1.58211,5.32435,20.757437348365784,9.987871885299683,130.635,832.2,5.585234899,832.2,5.585234899,2.73675,1.20069,1.74844,2.73675,-1.20069,2.66874,18.6299991607666,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
CLE,Guardians,150.651,574.841,648.819,157.05,93.4603,32.9381,2.89829,27.7532,91.9541,88.7823,63.7082,10.08,74.2987,4.47986,5.5467,0.243685,6.70084,33.2031,8.00517,0.273206,0.347281,0.485429,0.83271,0.352643,0.098191,0.114514,0.85746,0.212223,6.01877,0.270305,-0.263507,,97.5173,20.8543,0.462797,2.36177,2.09826,4.86938,24.00812315940857,1.2537303268909454,128.651,924.5,6.122516556,924.5,6.122516556,2.70091,-0.905631,0.54922,2.70091,0.905631,4.26771,6.230000019073486,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
TEX,Rangers,122.688,458.784,526.391,125.316,74.6926,23.844,0.370157,26.4096,70.6485,75.5962,59.498,9.46122,97.788,4.39208,3.51799,0.199354,9.78173,2.44377,0.56669,0.273149,0.359577,0.499428,0.859005,0.363682,0.11303,0.185771,0.608439,0.226279,2.67852,0.292534,-0.858446,,83.8341,21.6369,0.260948,-0.595734,-1.45418,4.46066,21.17610013484955,4.304749488830566,136.476,745.0,6.056910569,745.0,6.056910569,2.9967,-0.345764,0.834901,2.9967,0.345764,3.8868,95.45999908447266,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
TOR,Blue Jays,152.973,576.806,662.728,169.694,108.557,31.8758,0.479808,28.7813,93.8493,95.3454,74.9298,7.97926,90.595,6.27912,4.4752,0.237633,15.1581,4.77668,2.07529,0.294195,0.378726,0.500815,0.879541,0.375742,0.113063,0.1367,0.827085,0.206619,2.97302,0.305068,-0.230836,,112.036,33.73,-0.973159,-1.09463,-1.32546,4.3859,33.02897226810455,-12.971302688121796,143.982,987.3,6.452941176,987.3,6.452941176,3.06446,0.140307,1.32945,3.06446,-0.140307,3.2274,18.1299991607666,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
TBR,Rays,149.35,584.2,636.073,157.389,92.797,26.845,1.01185,36.7355,84.0972,103.618,43.1951,1.92859,124.342,3.81652,4.65119,0.209509,15.1859,5.99503,1.61454,0.26941,0.321454,0.507471,0.828925,0.352138,0.0679091,0.195483,0.347391,0.238061,3.57871,0.28205,-0.181549,,95.3404,20.1835,-2.59161,-0.372414,-0.553963,4.10354,19.44958609342575,-0.8690871000289917,126.608,873.8,5.86442953,873.8,5.86442953,2.52331,-0.0953157,1.20443,2.52331,0.0953157,3.3941,16.540000915527344,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
LAA,Angels,148.061,566.677,633.931,142.374,84.0103,30.4608,1.24018,26.6624,86.171,75.2011,44.3573,3.34632,155.392,16.4748,3.56991,2.85237,7.80607,26.8362,8.15916,0.251243,0.321997,0.450525,0.772522,0.332643,0.0699717,0.245125,0.285454,0.199282,5.60247,0.298077,0.515468,,84.9853,10.0815,0.422778,1.09182,1.60728,4.09773,10.954798579216003,7.277445167303085,112.511,783.6,5.294594594,783.6,5.294594594,1.88575,-0.543568,0.724692,1.88575,0.543568,4.03374,31.739999771118164,0.0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
