Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,InterSD,InterSK,IntraSD,QS,Vol,Skew,Dim,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,14.1226,6.58254,29.3624,29.3624,0.0,0.0,0.0,188.109,737.06,145.126,61.6813,56.7468,18.3213,227.722,38.1489,0.651058,6.39,2.71504,0.974302,10.8953,1.82522,5.9693,0.876576,0.30896,0.0517581,0.25720173865556717,,0.209561,0.28401,0.771409,2.69044,1116.8,5.940425531914894,1030.0,5.4787234042553195,5.87479,5.79059,3.88616,-1.08285,2.00138,18.0855,3.88616,1.08285,2.3315,6.909999847412109,6,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,13.907,8.03575,29.2127,29.2127,0.0,0.0,0.711651,183.03,732.962,147.928,67.3461,61.9584,19.5571,224.474,47.2536,1.81026,5.16165,3.04663,1.06639,11.0379,2.32356,4.75041,0.961665,0.306256,0.0644694,0.24178698658943176,,0.217367,0.294082,0.761826,2.93047,1015.4000000000001,5.548633879781422,947.0,5.174863387978142,5.08044,5.13163,4.82318,-1.39789,1.45789,16.7828,4.82318,1.39789,3.05615,12.100000381469727,3,AL,Garrett Crochet,676979,27463,27463
KCR,Royals,10.3476,7.95616,26.4515,26.4515,0.0,0.0,0.0,155.757,638.345,124.847,64.5145,59.3534,16.8533,193.3,55.2197,1.77417,5.02562,3.42957,1.15607,11.1693,3.19072,3.50056,0.973819,0.302814,0.0865044,0.21630945801734924,,0.21596,0.293502,0.738483,3.22007,826.3000000000002,5.296794871794873,765.0,4.903846153846154,3.78889,3.30477,3.41829,-0.414945,0.937625,13.086,3.41829,0.414945,3.74983,47.779998779296875,7,AL,Cole Ragans,666142,21846,21846
NYY,Yankees,14.1563,8.2592,28.6966,28.6966,0.0,0.0,0.0,180.199,743.228,158.892,72.2757,66.4936,16.5386,170.998,52.8469,0.856422,7.10997,3.32101,1.17503,8.54047,2.63943,3.23573,0.826016,0.230075,0.0711046,0.15897050499916077,,0.232546,0.287157,0.739525,3.42857,871.5000000000001,4.841666666666668,841.0,4.6722222222222225,3.62998,4.1517,2.04246,-2.32592,1.16065,15.9064,2.04246,2.32592,3.45246,50.09000015258789,9,AL,Max Fried,608331,13743,13743
DET,Tigers,12.7327,9.59454,28.534,28.534,0.0,0.0,0.0,185.144,774.194,166.218,77.9967,71.757,15.7802,172.813,61.1463,0.718134,8.06001,3.48816,1.22804,8.40057,2.97237,2.82623,0.767085,0.223217,0.0789806,0.14423636347055435,,0.235774,0.291323,0.727656,3.49774,879.6,4.754594594594595,856.0,4.627027027027027,3.60668,3.7138,3.44928,-2.57062,1.11695,15.7946,3.44928,2.57062,3.51073,81.8499984741211,6,AL,Framber Valdez,664285,17295,17295
TOR,Blue Jays,10.6146,9.39551,29.0857,29.0857,0.0,0.0,0.0,168.955,702.87,141.657,75.514,69.4729,20.5197,199.856,64.3004,1.46695,5.25431,3.70073,1.21901,10.6461,3.4252,3.10816,1.09306,0.284343,0.0914826,0.19286008179187775,,0.223675,0.293353,0.736013,3.58324,816.1000000000001,4.828994082840238,765.0,4.5266272189349115,3.57782,2.80158,5.58958,-1.03199,1.07575,12.5499,5.58958,1.03199,3.56567,74.2699966430664,14,AL,Dylan Cease,656302,18525,18525
HOU,Astros,12.1047,8.62765,29.3352,29.3352,0.0,0.0,0.0,178.999,739.05,153.058,75.4542,69.4179,19.6932,193.909,58.1741,1.49845,6.93109,3.4903,1.18007,9.74967,2.92497,3.33325,0.990168,0.262376,0.0787147,0.18366120010614395,,0.227107,0.289707,0.739283,3.48994,873.8000000000002,4.881564245810057,828.0,4.625698324022347,3.56918,3.57488,2.60879,0.672009,1.02702,15.8108,2.60879,-0.672009,3.63063,36.400001525878906,21,AL,Hunter Brown,686613,25880,25880
BOS,Red Sox,11.7757,8.56318,28.1308,28.1308,0.0,0.0,0.0,167.845,692.903,155.666,77.2368,71.0579,20.7491,177.361,43.6638,0.649588,5.14478,3.8102,1.18759,9.51027,2.3413,4.06196,1.11259,0.255968,0.0630158,0.192951999604702,,0.241683,0.302516,0.717009,3.50121,786.3000000000001,4.680357142857143,774.0,4.607142857142857,3.46665,3.01245,1.95518,-1.96807,0.965702,13.3655,1.95518,1.96807,3.7124,137.82000732421875,3,AL,Sonny Gray,543243,12768,12768
TEX,Rangers,10.1409,6.82087,26.091,26.091,0.0,0.0,0.0,157.865,630.593,130.789,65.5293,60.287,21.6064,177.637,35.9289,0.565692,4.48877,3.43702,1.05608,10.1272,2.04834,4.94411,1.2318,0.281698,0.0569765,0.22472138702869415,,0.221611,0.279289,0.741478,3.432,793.9999999999999,5.025316455696202,740.0,4.6835443037974684,3.46022,3.1155,2.61609,-1.11547,1.10963,12.1365,2.61609,1.11547,3.5205,49.970001220703125,13,AL,Jacob deGrom,594798,10954,10954
SEA,Mariners,13.3607,8.47416,29.2891,29.2891,0.0,0.0,0.0,183.483,733.937,151.866,75.5282,69.486,24.2056,185.211,38.2443,0.926561,7.02454,3.40834,1.03612,9.08474,1.87591,4.84283,1.18731,0.252352,0.0521084,0.20024395734071732,,0.220522,0.266375,0.733455,3.57146,898.8,4.911475409836065,838.0,4.579234972677596,3.41639,3.19729,3.59387,0.153807,1.3798,15.3874,3.59387,-0.153807,3.16027,34.900001525878906,11,AL,Bryan Woo,693433,30279,30279
SEA,Mariners,10.5284,7.92361,28.4223,28.4223,0.0,0.0,0.0,167.796,669.531,138.219,69.4603,63.9035,22.1207,187.772,37.3679,1.12842,5.65809,3.42756,1.04643,10.0714,2.00429,5.02495,1.18648,0.280453,0.0558121,0.22464074939489365,,0.220619,0.278672,0.733841,3.3801,860.8,5.123809523809523,801.0,4.767857142857143,3.33564,3.02359,4.44377,1.29696,1.22158,13.5913,4.44377,-1.29696,3.37123,37.11000061035156,11,AL,Logan Gilbert,669302,22250,22250
BOS,Red Sox,11.113,8.83017,27.0272,27.0272,0.0,0.0,0.0,164.76,689.703,158.202,73.2019,67.3457,16.764,148.453,46.6862,0.824058,5.36414,3.67876,1.24356,8.10923,2.55024,3.17979,0.915735,0.215241,0.0676903,0.14755096286535263,,0.248101,0.29938,0.72587,3.60357,741.1000000000001,4.491515151515152,744.0,4.509090909090909,3.28225,3.23549,2.7574,0.912501,0.852169,13.5775,2.7574,-0.912501,3.86377,183.5800018310547,3,AL,Ranger Suarez,624133,17277,17277
MIN,Twins,11.1823,9.57509,27.9883,27.9883,0.0,0.0,0.0,168.145,682.622,146.612,77.5917,71.3844,25.2751,185.148,38.5193,0.567605,8.19108,3.82088,1.10102,9.91014,2.06176,4.80664,1.35286,0.271231,0.0564284,0.21480268239974976,,0.230553,0.28517,0.718145,3.72041,782.5,4.657738095238095,744.0,4.428571428571429,3.15778,2.63477,2.16153,0.602669,1.11417,13.3956,2.16153,-0.602669,3.51444,78.80999755859375,8,AL,Joe Ryan,657746,21390,21390
SEA,Mariners,11.8582,8.89216,28.0713,28.0713,0.0,0.0,0.0,165.969,672.986,152.095,72.5125,66.7115,20.2156,162.396,31.4265,0.648011,6.67413,3.61756,1.10576,8.80625,1.70416,5.1675,1.09623,0.241307,0.0466971,0.19461004436016083,,0.239563,0.291592,0.715174,3.45033,797.2,4.802409638554217,780.0,4.698795180722891,3.13154,2.43445,3.2075,-0.818844,0.954892,13.5774,3.2075,0.818844,3.72681,64.55999755859375,11,AL,George Kirby,669923,25436,25436
TOR,Blue Jays,11.3847,9.9562,28.9773,28.9773,0.0,0.17477,0.0,178.417,736.729,162.642,84.3545,77.6061,23.7054,174.841,51.0534,1.07021,3.83991,3.91473,1.19773,8.8196,2.57531,3.42467,1.19579,0.237321,0.0692974,0.16802314668893814,,0.238535,0.28748,0.716538,3.82547,783.2,4.4,763.0,4.286516853932584,3.09821,2.52837,2.81995,-0.318076,0.993855,13.785,2.81995,0.318076,3.67486,113.30000305175781,14,AL,Kevin Gausman,592332,14107,14107
BAL,Orioles,8.40782,7.01377,25.1341,25.1341,0.0,0.0,0.0,140.218,580.198,121.073,61.1938,56.2983,15.819,151.429,44.7414,0.544908,6.34963,3.61355,1.18255,9.71957,2.87176,3.38453,1.01535,0.260995,0.077114,0.18388090282678604,,0.228825,0.29087,0.728211,3.53496,673.6,4.811428571428571,641.0,4.578571428571428,2.97614,2.47636,2.61166,-0.675167,0.570918,10.5972,2.61166,0.675167,4.23878,72.91000366210938,2,AL,Kyle Bradish,680694,24586,24586
TEX,Rangers,10.6939,7.86382,24.9383,24.9383,0.0,0.171145,0.0,153.48,625.268,134.997,67.8811,62.4506,18.1334,148.886,37.3238,0.951864,6.32,3.66207,1.12276,8.73061,2.18865,3.98904,1.06334,0.238116,0.0596925,0.17842328920960426,,0.232104,0.281868,0.710794,3.58401,728.8,4.7633986928104575,700.0,4.57516339869281,2.91219,2.56447,4.30407,0.447909,0.792229,13.0263,4.30407,-0.447909,3.94369,133.5399932861328,13,AL,Nathan Eovaldi,543135,9132,9132
TBR,Rays,9.62134,7.69568,28.422,28.422,0.0521839,0.0,0.0,152.689,625.319,136.915,66.7434,61.4039,17.0515,139.663,39.0169,0.807625,5.06157,3.61934,1.15222,8.23218,2.29978,3.57955,1.00507,0.223347,0.0623951,0.16095149144530296,,0.235556,0.282346,0.718063,3.62357,714.9000000000001,4.672549019607843,692.0,4.522875816993464,2.805,2.88188,3.33397,0.585423,0.624852,10.1558,3.33397,-0.585423,4.16686,133.2100067138672,12,AL,Drew Rasmussen,656876,25385,25385
LAA,Angels,10.0772,10.0913,29.4639,29.4639,0.0,0.0,0.200373,170.877,733.091,153.351,77.717,71.4997,14.6008,158.646,73.4131,1.32248,9.07567,3.76585,1.32706,8.35578,3.86663,2.161,0.769018,0.216406,0.100142,0.11626439541578293,,0.235706,0.290663,0.722397,3.83731,755.1000000000001,4.415789473684211,732.0,4.280701754385965,2.74974,2.86399,2.05034,-0.411102,1.25013,13.0415,2.05034,0.411102,3.33316,324.8699951171875,1,AL,José Soriano,667755,22100,22100
DET,Tigers,10.1181,9.8909,28.083,28.083,0.0,0.0,0.0,159.068,668.012,143.674,77.7849,71.5621,21.5148,175.26,54.6383,1.08827,6.81059,4.04894,1.24671,9.91608,3.09141,3.20763,1.2173,0.26236,0.0817925,0.18056746572256088,,0.236866,0.298103,0.716608,3.84879,695.6,4.374842767295598,673.0,4.232704402515723,2.62187,2.01617,2.79037,-0.566148,1.0504,11.8015,2.79037,0.566148,3.59947,210.27000427246094,6,AL,Jack Flaherty,656427,17479,17479
TEX,Rangers,9.72606,9.84712,28.0546,28.0546,0.0,0.0,0.0,158.235,667.261,139.926,74.8173,68.8319,20.4298,178.143,60.3572,0.663782,6.51298,3.91498,1.26574,10.1323,3.43296,2.95148,1.162,0.266977,0.0904552,0.17652137577533722,,0.233059,0.29739,0.730807,3.82975,714.2,4.520253164556962,685.0,4.3354430379746836,2.60133,2.13371,4.65184,-1.51446,1.03277,11.8921,4.65184,1.51446,3.62297,165.22999572753906,13,AL,MacKenzie Gore,669022,22201,22201
KCR,Royals,8.61248,7.87458,23.8822,29.2598,0.0122239,0.531966,1.34552,137.905,578.342,127.287,62.5007,57.5007,14.7074,133.932,45.1146,1.80314,4.6362,3.75263,1.25015,8.7407,2.94428,2.9687,0.959842,0.231579,0.0780068,0.15357230603694916,,0.240805,0.296301,0.723932,3.66148,628.5,4.554347826086956,617.0,4.471014492753623,2.53695,2.26726,2.02507,0.121285,0.527569,10.3684,2.02507,-0.121285,4.29657,191.69000244140625,7,AL,Kris Bubic,663460,21455,21455
CLE,Guardians,10.8523,9.79565,28.6725,28.6725,0.0,0.0,0.0,174.513,729.012,161.477,84.0385,77.3154,23.8242,163.637,51.8822,0.993481,7.81863,3.98731,1.2226,8.43909,2.67567,3.15401,1.22866,0.224464,0.0711678,0.15329652279615402,,0.241259,0.285676,0.718427,4.06081,729.1999999999999,4.166857142857142,711.0,4.062857142857143,2.44721,2.2847,3.0859,-1.57198,0.956837,12.056,3.0859,1.57198,3.72422,187.92999267578125,5,AL,Tanner Bibee,676440,30134,30134
BAL,Orioles,9.10583,8.28879,26.2807,26.2807,0.0,0.0,0.0,151.873,640.847,144.852,73.8724,67.9626,18.0663,132.209,48.8902,1.2175,5.15461,4.02747,1.27569,7.83473,2.89724,2.70421,1.07061,0.206304,0.07629,0.1300138533115387,,0.24685,0.290442,0.711608,4.00809,628.4,4.13421052631579,628.0,4.131578947368421,2.33786,1.85479,4.12682,1.23309,0.715877,11.0472,4.12682,-1.23309,4.0455,147.14999389648438,2,AL,Trevor Rogers,669432,22286,22286
SEA,Mariners,10.8914,9.72836,28.3783,28.3783,0.0,0.0,0.0,172.222,712.635,156.931,81.0712,74.5855,24.0067,160.089,48.0649,1.09062,6.47291,3.8977,1.1903,8.36597,2.51178,3.33069,1.25454,0.224644,0.0674468,0.15719755738973618,,0.238462,0.28043,0.723071,4.03817,727.3999999999999,4.229069767441859,706.0,4.104651162790698,2.25322,1.92583,2.26612,1.21872,0.840622,13.7536,2.26612,-1.21872,3.87917,170.66000366210938,11,AL,Luis Castillo,622491,15689,15689
LAA,Angels,8.31477,9.98764,29.3528,29.3528,0.0,0.0,0.0,167.937,715.316,161.299,85.9379,79.0628,25.6115,170.382,60.264,1.59441,5.0575,4.2371,1.31932,9.13102,3.22964,2.82725,1.37256,0.23819,0.0842481,0.15394237637519836,,0.248154,0.298869,0.730318,4.25551,649.8000000000001,3.8678571428571433,647.0,3.8511904761904763,2.16312,1.84263,4.02475,-0.0917292,1.30197,11.6264,4.02475,0.0917292,3.26404,499.2300109863281,1,AL,Yusei Kikuchi,579328,20633,20633
DET,Tigers,9.08831,8.52094,26.4988,26.4988,0.0,0.0,0.0,145.804,613.044,144.212,72.5329,66.7302,19.5628,127.179,39.1802,0.929025,5.36106,4.11903,1.2578,7.85033,2.41846,3.24601,1.20754,0.207455,0.0639108,0.14354411512613297,,0.25367,0.295546,0.710618,4.05131,582.0000000000001,3.9863013698630145,592.0,4.054794520547945,2.11483,1.70931,2.81735,1.24785,0.675989,9.61487,2.81735,-1.24785,4.09868,285.510009765625,6,AL,Casey Mize,663554,20492,20492
TBR,Rays,6.96463,5.48616,18.6581,18.6581,0.0,0.0,0.0,109.326,448.311,95.3962,48.5117,44.6307,13.6499,116.266,33.0993,0.671558,2.688,3.67411,1.17534,9.5713,2.72482,3.51264,1.12369,0.259342,0.0738311,0.1855110228061676,,0.23125,0.289257,0.731209,3.61332,511.39999999999986,4.691743119266054,487.0,4.467889908256881,2.08173,1.91749,5.23338,-1.41328,0.432011,8.76257,5.23338,1.41328,4.42399,186.52000427246094,12,AL,Shane McClanahan,663556,21483,21483
TOR,Blue Jays,7.92133,7.54771,21.8739,32.9382,0.154214,0.840165,0.519752,136.559,575.112,127.582,66.8062,61.4617,18.3941,139.343,44.2088,1.48456,5.93351,4.05066,1.25799,9.18349,2.9136,3.15194,1.21227,0.242289,0.07687,0.16541942209005356,,0.243027,0.297327,0.71888,3.94697,591.6000000000001,4.318248175182482,583.0,4.255474452554744,2.07037,1.57473,3.25729,-1.16093,0.574849,9.19935,3.25729,1.16093,4.23354,252.82000732421875,14,AL,Cody Ponce,664074,17920,17920
KCR,Royals,10.1387,10.3586,27.5151,27.5151,0.0,0.0,0.0,163.457,692.415,163.081,85.9848,79.106,22.1047,126.049,48.4878,0.651695,5.18588,4.35561,1.29434,6.94031,2.66976,2.5996,1.21709,0.182043,0.0700272,0.11201561242341995,,0.255316,0.287362,0.695285,4.33597,604.8,3.7104294478527606,622.0,3.815950920245399,2.0663,1.54995,4.53041,0.723776,1.15261,11.4854,4.53041,-0.723776,3.46318,613.75,7,AL,Michael Wacha,608379,14078,14078
TBR,Rays,11.0072,10.2437,29.604,29.604,0.0,0.0,0.0,167.039,695.105,143.291,81.338,74.831,25.1948,170.846,58.0064,0.969344,7.72311,4.03186,1.20509,9.2051,3.12536,2.94529,1.35749,0.245784,0.0834499,0.1623343750834465,,0.227672,0.27253,0.72254,4.23086,700.5,4.1946107784431135,654.0,3.9161676646706587,2.04273,2.31249,3.6202,0.375,1.02364,12.0914,3.6202,-0.375,3.63515,123.6500015258789,12,AL,Ryan Pepiot,686752,26221,26221
BAL,Orioles,9.21526,9.20757,27.6309,27.6309,0.0,0.0,0.0,156.842,661.454,144.134,78.634,72.3432,22.1555,154.817,52.6264,0.724134,7.8124,4.15124,1.25451,8.88378,3.01984,2.94181,1.27134,0.234055,0.0795618,0.1544935405254364,,0.239817,0.287655,0.712709,4.15338,643.8,4.100636942675159,626.0,3.9872611464968153,2.01361,1.64863,3.01718,-1.76,0.91142,11.5445,3.01718,1.7609,3.78477,188.74000549316406,2,AL,Shane Baz,669358,22264,22264
MIN,Twins,8.30181,9.37969,27.1857,27.1857,0.0,0.0,0.0,157.999,656.484,153.406,84.2157,77.4785,27.1455,143.326,37.4901,0.556839,5.80947,4.41335,1.20821,8.16419,2.13552,3.82304,1.54627,0.218324,0.0571074,0.16121666878461838,,0.25018,0.285198,0.697749,4.37652,596.3,3.774050632911392,596.0,3.7721518987341773,2.0049,1.38582,2.10586,-0.406684,1.04567,11.1828,2.10586,0.406684,3.60578,471.4100036621094,8,AL,Bailey Ober,641927,21224,21224
CLE,Guardians,9.86712,8.99446,28.4842,28.4842,0.0,0.0,0.0,163.007,693.579,143.318,78.1079,71.8592,20.5069,166.028,69.8623,0.83591,6.04824,3.96751,1.30779,9.16679,3.85725,2.37651,1.13223,0.239379,0.100727,0.1386515200138092,,0.23203,0.284855,0.732216,4.13059,680.1000000000001,4.17239263803681,646.0,3.96319018404908,1.94452,2.15332,2.37244,1.45425,1.15758,11.4046,2.37244,-1.45425,3.45656,144.27000427246094,5,AL,Gavin Williams,668909,30122,30122
BAL,Orioles,10.5685,9.76086,28.7132,31.7038,0.0,0.312003,0.0,167.365,718.83,164.481,86.0245,79.1426,22.5433,152.302,56.2731,0.964626,11.0427,4.25586,1.319,8.18998,3.02606,2.70648,1.21226,0.211875,0.0782843,0.133590467274189,,0.25246,0.29777,0.712126,4.27281,629.5000000000001,3.769461077844312,639.0,3.8263473053892216,1.89434,1.51696,2.41622,0.915139,1.35271,11.7094,2.41622,-0.915139,3.19639,361.8500061035156,2,AL,Chris Bassitt,605135,12304,12304
TEX,Rangers,9.66028,10.2362,29.298,29.298,0.0,0.0,0.0,163.287,693.028,145.003,84.5498,77.7858,23.853,157.164,64.5687,0.774331,7.30476,4.28737,1.28346,8.66251,3.55888,2.43406,1.31472,0.226779,0.093169,0.1336095929145813,,0.233441,0.275255,0.709636,4.42968,632.0,3.8773006134969323,601.0,3.687116564417178,1.88128,1.40933,2.85926,0.168668,1.18098,9.63291,2.85926,-0.168668,3.42535,231.6999969482422,13,AL,Jack Leiter,683004,30146,30146
LAA,Angels,7.25348,8.4217,23.2026,31.4051,0.0346319,0.463069,0.814091,136.675,579.9,125.104,70.4988,64.8589,18.8459,148.959,50.8154,2.71587,6.25752,4.27095,1.28714,9.80891,3.34618,2.93137,1.241,0.25687,0.0876278,0.16924194246530533,,0.239284,0.2993,0.704989,4.00068,582.1000000000001,4.248905109489052,565.0,4.124087591240876,1.85815,1.4266,4.97666,-0.975717,0.832227,8.36472,4.97666,0.975717,3.89036,342.760009765625,1,AL,Reid Detmers,672282,27468,27468
NYY,Yankees,8.27457,7.57445,23.5044,23.5044,0.0,0.0,0.0,131.735,557.256,117.433,62.1526,57.1804,16.3237,131.263,50.009,0.683192,6.46408,3.9065,1.27105,8.96777,3.41656,2.6248,1.11522,0.235553,0.0897415,0.14581184834241867,,0.2345,0.286271,0.728199,4.03922,569.8000000000002,4.316666666666668,546.0,4.136363636363637,1.84925,2.03923,3.61416,0.769067,0.530754,9.31891,3.61416,-0.769067,4.29233,118.30000305175781,9,AL,Cam Schlittler,693645,32095,32095
