Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,149,517,644,147,78,25,1,43,111,111,115,24,158,6,5,1,,9,2,0.285279,0.418354,0.588316,1.00667,0.415869,0.179145,0.245869,0.72862,0.303037,3.85146,0.325675,-1.05884,,129.851,53.7579,2.62933,-0.374889,-1.43372,7.2564,53.32907855510712,-4.57066798210144,172.148,1163.1,7.806040268,1163.1,7.806040268,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,157,616,679,177,104,37,7,29,104,95,49,6,117,7,6,1,,33,10,0.287791,0.344039,0.512086,0.856125,0.361892,0.0720544,0.172461,0.417801,0.224295,6.97417,0.311735,1.69436,,107.152,26.9229,7.02273,1.59241,3.28678,6.71374,27.952098846435547,14.297733306884766,130.821,997.7,6.35477707,997.7,6.35477707,3.069999933242798,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,159,550,637,127,63,23,0,41,88,103,78,11,171,5,4,1,,8,2,0.230457,0.329735,0.493639,0.823375,0.347448,0.122086,0.268418,0.454838,0.263182,3.26146,0.252084,-1.31604,,93.1123,17.7986,4.7388,-0.308808,-1.62485,6.36815,21.22756588459015,11.888797760009766,130.419,871.9,5.483647798,871.9,5.483647798,18.6299991607666,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
BAL,Orioles,156,590,672,161,95,33,5,29,102,89,70,4,141,6,4,1,,23,5,0.273183,0.354311,0.490045,0.844357,0.361628,0.104659,0.209134,0.50044,0.216862,6.25138,0.311793,1.29987,,105.903,26.5015,-2.11649,1.33551,2.63537,6.00048,30.43586492538452,5.083509206771851,135.1,966.1,6.192948717,966.1,6.192948717,12.4399995803833,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,159,625,686,169,105,30,2,32,96,101,48,5,151,9,4,1,,26,7,0.270496,0.330142,0.476903,0.807045,0.344922,0.0703345,0.219584,0.320309,0.206407,5.58275,0.308206,0.500728,,98.8052,17.749,6.53717,1.54074,2.04147,5.89605,25.229660511016846,8.787170886993408,128.679,921.4,5.794968553,921.4,5.794968553,9.539999961853027,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
CLE,Guardians,157,602,679,165,99,34,3,29,95,96,66,20,80,5,6,0,,32,7,0.273388,0.346939,0.483579,0.830518,0.347192,0.0977005,0.117303,0.832892,0.210191,5.89085,0.27171,-0.0724456,,99.0482,18.8191,1.62848,2.31887,2.24642,4.91036,22.170163869857788,2.4534817934036255,124.896,964.5,6.143312101,964.5,6.143312101,6.230000019073486,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
TOR,Blue Jays,125,435,495,118,84,19,0,15,52,63,50,2,60,4,5,0,,1,0,0.272245,0.349597,0.422411,0.772008,0.336488,0.10177,0.120724,0.842998,0.150166,1.73824,0.282823,-1.32341,,67.8506,9.40979,5.86283,-0.760863,-2.08427,4.87976,7.791525840759277,14.587827205657959,116.941,585.8,4.6864,585.8,4.6864,159.63999938964844,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
TOR,Blue Jays,157,590,679,173,106,33,0,34,98,105,78,9,92,6,5,0,,5,2,0.293676,0.37931,0.52136,0.90067,0.382477,0.114411,0.135859,0.842132,0.227684,2.75679,0.298089,-0.398813,,118.5,38.2709,-1.26722,-0.96352,-1.36233,4.84206,37.54833114147186,-13.592215299606323,148.621,1050.0,6.687898089,1050.0,6.687898089,18.1299991607666,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
TBR,Rays,154,610,665,165,96,29,1,39,89,116,46,1,127,4,5,0,,6,2,0.270377,0.322886,0.51319,0.836076,0.355281,0.0688869,0.190604,0.361415,0.242812,3.34425,0.279545,-0.0643933,,101.373,22.7986,-1.57295,-0.338434,-0.402827,4.59874,21.857707172632217,0.20204508304595947,128.402,926.2,6.014285714,926.2,6.014285714,16.540000915527344,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
TEX,Rangers,149,558,644,144,87,29,2,25,90,80,75,3,145,6,4,1,,22,6,0.257438,0.349007,0.453333,0.802339,0.347007,0.116811,0.225886,0.517126,0.195895,5.2642,0.302393,0.53987,,93.8456,17.7521,4.73849,0.926009,1.46588,4.43394,20.43328619003296,0.7384951114654541,124.989,846.9,5.683892617,846.9,5.683892617,38.560001373291016,0.0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
HOU,Astros,130,476,560,140,81,28,1,30,81,88,71,11,97,7,6,0,,3,1,0.294387,0.390505,0.544734,0.93524,0.393321,0.126975,0.172739,0.735069,0.250347,3.23363,0.311248,-0.742561,,102.663,36.4943,-0.0978609,-0.85322,-1.59578,4.37733,35.407445549964905,-11.897860184311867,156.063,913.8,7.029230769,913.8,7.029230769,33.209999084472656,0.68085106,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
TEX,Rangers,131,495,567,133,81,26,0,26,77,78,63,11,103,5,4,0,,3,0,0.268246,0.353902,0.478558,0.83246,0.353452,0.110845,0.182,0.60904,0.210312,2.54974,0.288944,-0.870398,,85.5923,18.5969,0.593381,-0.588985,-1.45938,4.36272,18.207531213760376,4.918381035327911,129.429,779.3,5.948854961,779.3,5.948854961,95.45999908447266,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
