Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,14,7,32,32,0,0,,200.0,790,156,65,59,19,245,40,,7,2.67008,0.981068,10.9994,1.81286,6.06746,0.84838,0.310011,0.051094,0.2589167356491089,,0.210329,0.286727,0.775254,2.62291,1189.6999999999998,5.948499999999999,1102.0,5.51,6.33694,6.18165,22,6.909999847412109,6,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,15,8,32,32,0,0,,197.0,796,162,69,64,20,245,52,,5,2.90087,1.08324,11.1845,2.36141,4.73637,0.894352,0.307723,0.0649701,0.24275241047143936,,0.218914,0.299672,0.774824,2.80782,1109.6000000000001,5.632487309644671,1044.0,5.299492385786802,5.79882,5.89967,21,12.100000381469727,3,AL,Garrett Crochet,676979,27463,27463
KCR,Royals,11,8,29,29,0,0,,163.0,674,132,67,62,17,202,58,,5,3.40402,1.16468,11.1476,3.19613,3.48785,0.955779,0.299196,0.0857823,0.2134132906794548,,0.215568,0.291774,0.741911,3.19172,868.9000000000001,5.330674846625768,809.0,4.96319018404908,4.06331,3.7084,17,47.779998779296875,7,AL,Cole Ragans,666142,21846,21846
NYY,Yankees,14,9,31,31,0,0,,189.0,779,169,76,70,17,176,54,,7,3.32423,1.1798,8.37269,2.5782,3.2475,0.812211,0.22524,0.069358,0.15588213503360748,,0.234676,0.288245,0.736716,3.4185,919.1000000000003,4.862962962962964,893.0,4.724867724867725,3.90625,3.96213,19,50.09000015258789,9,AL,Max Fried,608331,13743,13743
HOU,Astros,13,8,31,31,0,0,,183.0,759,157,74,68,19,197,60,,7,3.34491,1.18849,9.6701,2.96264,3.26401,0.939784,0.259231,0.079421,0.17981024086475372,,0.227437,0.290415,0.7517,3.44336,905.3,4.946994535519125,861.0,4.704918032786885,3.77621,3.97855,19,36.400001525878906,21,AL,Hunter Brown,686613,25880,25880
BOS,Red Sox,12,10,31,31,0,0,,178.0,746,169,80,74,21,186,47,,5,3.71624,1.21453,9.38232,2.38648,3.93145,1.0792,0.249291,0.0634094,0.18588153272867203,,0.24418,0.304322,0.733264,3.49041,835.5000000000001,4.693820224719102,833.0,4.679775280898877,3.71257,3.37465,17,137.82000732421875,3,AL,Sonny Gray,543243,12768,12768
TEX,Rangers,11,8,29,29,0,0,,169.0,679,143,71,66,23,188,40,,4,3.50261,1.08298,10.0277,2.11064,4.75102,1.22894,0.27658,0.0582149,0.2183653935790062,,0.224972,0.28243,0.741819,3.45295,839.9000000000003,4.969822485207103,790.0,4.674556213017752,3.67638,3.30617,17,49.970001220703125,13,AL,Jacob deGrom,594798,10954,10954
TOR,Blue Jays,12,9,31,31,0,0,,173.0,727,144,74,69,20,203,65,,5,3.57182,1.20985,10.5316,3.38948,3.10713,1.05402,0.279228,0.0898669,0.18936119228601456,,0.220084,0.286598,0.747311,3.53149,855.8000000000001,4.946820809248555,801.0,4.630057803468208,3.66095,3.17456,18,74.2699966430664,14,AL,Dylan Cease,656302,18525,18525
DET,Tigers,13,10,31,31,0,0,,195.0,813,177,81,74,17,180,65,,8,3.41289,1.24021,8.33084,2.98441,2.79145,0.778979,0.221844,0.0794727,0.14237145334482193,,0.239273,0.295154,0.738184,3.53443,914.7,4.690769230769231,895.0,4.589743589743589,3.63877,3.96998,19,81.8499984741211,6,AL,Framber Valdez,664285,17295,17295
SEA,Mariners,13,10,32,32,0,0,,195.0,788,169,81,75,25,197,43,,9,3.46564,1.08086,9.09243,1.96479,4.62768,1.15706,0.250354,0.0540993,0.19625499844551086,,0.228605,0.278631,0.737266,3.57267,934.1,4.7902564102564105,888.0,4.553846153846154,3.54819,3.31511,19,34.900001525878906,11,AL,Bryan Woo,693433,30279,30279
