Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,145.056,518.342,637.642,148.723,72.7278,26.0782,0.425088,49.4923,105.705,119.526,108.312,18.1654,161.875,5.98003,4.23868,0.516894,8.89911,7.83279,2.90398,0.286921,0.41298,0.625318,1.0383,0.428292,0.169864,0.253865,0.669111,0.338397,3.21932,0.318852,,,135.001,59.6585,-2.34,-0.737396,-0.737396,7.41921,59.91615319252014,-9.347536325454712,180.706,1201.2,8.284137931,1201.2,8.284137931,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,151.257,598.539,659.483,174.534,102.384,35.3254,5.58207,31.2421,104.505,96.6472,47.9623,5.00005,112.944,6.42046,5.69368,0.867676,6.98723,37.1328,8.39743,0.2916,0.347572,0.525863,0.873436,0.369348,0.0727271,0.171261,0.424656,0.234263,7.03263,0.311472,,,108.064,30.1411,3.65,2.98575,2.98575,6.57718,30.93419313430786,10.652638912200928,135.957,1018.0,6.741721854,1018.0,6.741721854,3.069999933242798,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,148.707,534.315,618.703,119.895,58.1497,22.1523,0.854776,38.7385,81.292,102.128,73.3185,6.8307,171.036,6.16702,4.39775,0.504324,6.26932,7.31373,2.56692,0.22439,0.322519,0.486553,0.809072,0.343091,0.118504,0.276443,0.428673,0.262162,3.61905,0.246723,,,88.1923,15.0878,14.95,-0.451982,-0.451982,6.39283,19.541338562965393,21.647247314453125,127.418,816.0,5.476510067,816.0,5.476510067,18.6299991607666,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
SEA,Mariners,151.723,598.723,660.213,163.638,103.465,25.7974,6.17401,28.2022,95.6606,87.3291,47.779,3.63869,146.247,9.25549,3.8923,0.562853,10.7749,25.7437,6.52597,0.273312,0.33453,0.478335,0.812865,0.347621,0.0723691,0.221515,0.326701,0.205023,6.70901,0.316317,,,96.5377,18.5284,0.52,1.4407,1.4407,5.17676,25.203819632530212,2.670269250869751,130.538,893.0,5.875,893.0,5.875,9.539999961853027,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
BAL,Orioles,152.419,583.114,659.777,155.906,93.5797,34.6273,2.71855,24.9809,94.2521,80.1243,64.9907,3.17499,140.374,5.72109,5.41164,0.540076,12.1849,20.6505,5.18536,0.267369,0.343758,0.464599,0.808357,0.347538,0.098504,0.21276,0.462981,0.19723,5.59743,0.309392,,,96.4295,18.4717,-1.33,0.942971,0.942971,5.0261,20.690112233161926,5.726435542106628,125.394,883.1,5.809868421,883.1,5.809868421,12.4399995803833,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
TOR,Blue Jays,152.973,578.528,662.728,173.119,109.573,30.8611,1.17922,31.506,97.6648,98.0239,72.1295,6.98951,87.5671,7.14667,4.29104,0.632853,16.4904,5.83913,2.26736,0.299241,0.381207,0.520038,0.901245,0.384041,0.108837,0.132131,0.823706,0.220798,3.45333,0.305368,,,116.502,38.1957,-0.37,-0.961274,-0.961274,4.94177,37.858840107917786,-12.368168950080872,149.699,1029.0,6.725490196,1029.0,6.725490196,18.1299991607666,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
TEX,Rangers,122.688,453.818,526.391,125.024,72.9453,23.4946,0.683625,27.9008,70.9381,83.2588,59.5715,8.42127,99.2283,4.62726,4.24089,0.486303,10.2356,1.75645,0.694079,0.275494,0.362317,0.514718,0.877035,0.370586,0.11317,0.188507,0.600348,0.239224,2.38112,0.293486,,,86.7849,24.5877,-0.09,-0.782732,-0.782732,4.79535,24.798364400863647,3.9537860453128815,141.232,777.6,6.321951219,777.6,6.321951219,95.45999908447266,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
HOU,Astros,131.1,475.733,558.79,138.797,76.9147,27.2352,1.28419,33.3627,84.2369,92.4117,69.56,9.01398,93.0661,7.76126,5.20073,0.535339,9.24266,3.50988,1.18546,0.291754,0.387132,0.564789,0.95192,0.399546,0.124483,0.166549,0.747425,0.273035,3.14198,0.297412,,,105.265,39.2396,-0.44,-0.742199,-0.742199,4.69218,39.005184173583984,-12.3765749335289,160.351,935.4,7.140458015,935.4,7.140458015,33.209999084472656,0.68085106,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
CLE,Guardians,150.651,575.51,648.819,155.507,94.1005,30.938,4.12193,26.3471,91.6591,84.2034,62.1472,14.9226,72.3931,4.49984,5.94431,0.717962,6.90246,34.1634,9.39131,0.270208,0.342777,0.475632,0.818409,0.344109,0.095785,0.111577,0.858468,0.205423,6.30284,0.267571,,,93.0216,16.3587,0.62,2.02409,2.02409,4.4179,19.438264846801758,1.4109320640563965,122.772,892.1,5.907947019,892.1,5.907947019,6.230000019073486,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
TOR,Blue Jays,122.297,429.28,484.104,115.302,77.5979,19.6791,0.0,18.025,59.343,62.447,45.1233,1.6181,59.4416,4.55482,4.57532,0.57097,12.2127,0.29136,0.147248,0.268594,0.341197,0.440403,0.781601,0.338663,0.09321,0.122787,0.75912,0.171809,1.62976,0.272953,,,67.2659,10.0653,7.31,-0.831582,-0.831582,4.31923,9.689807295799255,15.864122867584229,118.44,592.2,4.85409836,592.2,4.85409836,159.63999938964844,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
