year,team,total_ab,total_ip
2015,Boppers,7362,1190.7
2015,Brosox,6124,1361.0
2015,Gusteroids,7514,1363.3
2015,Livn Lex,7101,1438.3
2015,Mashers,6837,1560.7
2015,R&R,7189,1418.0
2015,Shrooms,6833,1347.3
2015,Roof Guy,6439,1292.3
2015,Thunder & Lightning,7746,1374.7
2015,Trollers,6147,1321.7
2016,Boppers,6789,1197.3
2016,Gusteroids,6951,1122.7
2016,Livn Lex,5661,1208.0
2016,Mashers,6652,1260.0
2016,R&R,7013,1312.3
2016,Shrooms,5654,1077.0
2016,Roof Guy,6388,1331.0
2016,Thunder & Lightning,6551,1258.7
2016,Trollers,6735,1142.0
2016,mean machine,6471,1148.7
2016,Taylor Applebaum,6161,934.3
2017,Boppers,5757,888.3
2017,Gusteroids,6500,1004.7
2017,Livn Lex,5786,1086.7
2017,Mashers,6898,1258.3
2017,R&R,6859,1176.7
2017,Shrooms,7142,1237.3
2017,Roof Guy,6535,1094.0
2017,Thunder & Lightning,6977,939.3
2017,Trollers,6044,1274.3
2017,mean machine,5962,1177.0
2017,Dancing With The Dingos,6645,1281.7
2018,Boppers,6811,1156.3
2018,Gusteroids,6836,1131.7
2018,Livn Lex,6710,1269.3
2018,Mashers,6786,1183.0
2018,R&R,5931,1226.7
2018,Shrooms,5843,974.7
2018,Kerry & Mitch,6733,1122.0
2018,Thunder & Lightning,6361,1091.3
2018,HAMMERHEADS,5966,1094.3
2018,mean machine,6946,1006.3
2018,#TrustTheProcess,5584,969.3
2019,Boppers,6891,1120.0
2019,Gusteroids,6895,1077.3
2019,Livn Lex,6634,1133.7
2019,Mashers,6031,1115.3
2019,R&R,6166,1054.0
2019,Shrooms,6163,1206.7
2019,Kerry & Mitch,5837,827.3
2019,Thunder & Lightning,6763,1131.0
2019,HAMMERHEADS,6353,1203.3
2019,mean machine,6444,1083.7
2019,Dancing With Dingos,6387,1117.7
2020,Boppers,1986,284.3
2020,Gusteroids,2246,310.7
2020,Livn Lex,2397,330.0
2020,Mashers,2142,415.7
2020,R&R,2224,340.7
2020,Shrooms,2132,416.0
2020,Kerry & Mitch,2110,384.3
2020,Thunder & Lightning,2405,342.7
2020,HAMMERHEADS,2303,299.7
2020,mean machine,2109,408.3
2020,Dancing With Dingos,2269,439.3
2021,Shoeless Joe's,5859,883.3
2021,Gusteroids,6918,1131.3
2021,Livn Lex,5890,1109.7
2021,Mashers,6680,1203.3
2021,R&R,6926,1145.3
2021,Shrooms,5638,1133.3
2021,Kerry & Mitch,5810,1011.7
2021,Thunder & Lightning,6485,1132.3
2021,HAMMERHEADS,6688,1179.3
2021,Mean Machine,6237,1403.7
2021,Dancing With Dingos,5309,1052.3
2022,Shoeless Joe's,5516,887.0
2022,Gusteroids,6984,1121.7
2022,Livn Lex,6249,1137.3
2022,Mashers,5549,1125.7
2022,R&R,6662,1198.0
2022,Shrooms,6193,1097.0
2022,Kerry & Mitch,5927,1122.3
2022,Thunder & Lightning,5484,922.7
2022,HAMMERHEADS,6559,1280.7
2022,Mean Machine,6662,1475.7
2022,Dancing With Dingos,6704,1193.3
2023,Gusteroids,7104,1294.0
2023,Livn Lex,6207,1244.0
2023,On a Bender,6215,1447.3
2023,R&R,6553,1387.7
2023,Shrooms,6721,1195.0
2023,Kerry & Mitch,7029,1330.3
2023,Thunder & Lightning,6280,1281.7
2023,HAMMERHEADS,7762,1318.7
2023,Mean Machine,6805,1444.3
2023,Dancing With Dingos,7115,1426.3
2024,Gusteroids,7475,1523.3
2024,Ayal Feinberg,5431,997.3
2024,On a Bender,6630,1444.3
2024,R&R,5782,1456.3
2024,Shrooms,6665,1266.7
2024,Kerry & Mitch,6838,1323.0
2024,Thunder & Lightning,6869,1292.7
2024,HAMMERHEADS,6532,1345.7
2024,Mean Machine,7012,1393.3
2024,Dancing With Dingos,7585,1408.0
2025,Gusteroids,6352,983.7
2025,Kosher Hogs,5625,1574.7
2025,On a Bender,6717,1321.7
2025,R&R,7306,1535.3
2025,Shrooms,6638,1206.7
2025,Kerry & Mitch,6939,1307.7
2025,Thunder & Lightning,7138,1285.0
2025,HAMMERHEADS,7058,1417.7
2025,Mean Machine,7164,1360.7
2025,Dancing With Dingos,7309,1401.7
