player_name,team,pos_type,position,projection_system,fg_id,mlbam_id,PA,AB,IP,R,HR,RBI,SB,AVG,W,SV,ERA,WHIP,SO,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,total_sgp,par,dollar_value
Aaron Judge,NYY,hitter,OF,atc,15640,592450,637.642,512.16,,107.67,46.5467,112.12,8.80528,0.290048,,,,,,3.383327960928115,3.8244464224580623,3.6349382477784076,0.8500065964116025,1.3572902045840567,0.0,0.0,0.0,0.0,0.0,13.050009432160245,8.74374375106196,49.14113682930247
Bobby Witt Jr.,KCR,hitter,SS,atc,25764,677951,659.483,598.157,,100.12,28.4727,91.9439,33.8454,0.291126,,,,,,3.1460833607144316,2.339420746319753,2.9808276735632635,3.267222990999633,1.6175463720245007,0.0,0.0,0.0,0.0,0.0,13.351101143621582,9.044835462523299,50.83331690826389
Gunnar Henderson,BAL,hitter,SS,atc,26289,683002,659.777,581.686,,97.0296,26.3683,82.4762,23.9613,0.269652,,,,,,3.048973332568688,2.1665155768572406,2.673884176876753,2.3130738668841118,0.9462727634186513,0.0,0.0,0.0,0.0,0.0,11.148719716605445,6.842454035507161,38.45560661201123
Julio Rodríguez,SEA,hitter,OF,atc,23697,677594,660.213,600.107,,94.5235,29.8507,91.3902,28.1172,0.271433,,,,,,2.9702238368606726,2.4526422458062305,2.9628766808073332,2.7142584304672095,1.0298653341296495,0.0,0.0,0.0,0.0,0.0,12.129866528071096,7.823600846972812,43.96979722470062
Cal Raleigh,SEA,hitter,C,atc,21534,663728,618.703,533.9,,85.3398,39.4837,100.466,7.90477,0.229434,,,,,,2.6816432759358513,3.244124614857925,3.2571147520630173,0.7630769996089327,-0.2088247572656103,0.0,0.0,0.0,0.0,0.0,9.737134885200115,5.430869204101831,30.522290480939542
José Ramírez,CLE,hitter,3B,atc,13510,608070,648.819,574.841,,91.9541,27.7532,88.7823,33.2031,0.273206,,,,,,2.889485257285966,2.280304005477576,2.878328380268792,3.2052193707995746,1.037642654847563,0.0,0.0,0.0,0.0,0.0,12.290979668679473,7.9847139875811886,44.87527697262591
Corey Seager,TEX,hitter,SS,atc,13624,608369,526.391,458.784,,70.6485,26.4096,75.5962,2.44377,0.273149,,,,,,2.21999670704588,2.1699089352961316,2.450834095314895,0.23590625398769624,0.8268366460203886,0.0,0.0,0.0,0.0,0.0,7.903482637664991,3.597216956566707,20.216892866498064
Vladimir Guerrero Jr.,TOR,hitter,1B,atc,19611,665489,662.728,576.806,,93.8493,28.7813,95.3454,4.77668,0.294195,,,,,,2.949038365408479,2.364776446422458,3.091104541649406,0.461110777731926,1.6486279194819178,0.0,0.0,0.0,0.0,0.0,10.514658050694187,6.208392369595903,34.89208600003353
Junior Caminero,TBR,hitter,3B,atc,28163,691406,636.073,584.2,,84.0972,36.7355,103.618,5.99503,0.26941,,,,,,2.6425968997470406,3.0183224922971585,3.3593028126855424,0.5787226579603885,0.9432690275682605,0.0,0.0,0.0,0.0,0.0,10.542213890258392,6.2359482091601075,35.046953905706815
Zach Neto,LAA,hitter,SS,atc,31347,687263,633.931,566.677,,86.171,26.6624,75.2011,26.8362,0.251243,,,,,,2.707762178147456,2.1906799041424168,2.4380249256600854,2.5905987115254763,0.3984411945478857,0.0,0.0,0.0,0.0,0.0,10.32550691402332,6.019241232925036,33.829028555396924
Yordan Alvarez,HOU,hitter,DH/OF,atc,19556,670541,558.79,474.972,,77.6861,29.3619,86.2624,3.46793,0.291388,,,,,,2.4411400975708886,2.4124806573091404,2.7966330458897617,0.33477224754848095,1.290671205300292,0.0,0.0,0.0,0.0,0.0,9.275697253618564,4.969431572520279,27.928942546997146
Wyatt Langford,TEX,hitter,OF,atc,33333,694671,613.384,531.718,,84.2842,24.4389,74.3718,22.9098,0.250603,,,,,,2.648473024282134,2.0079890448476547,2.411138961613683,2.2115686409143755,0.3567866053443827,0.0,0.0,0.0,0.0,0.0,9.63595627700223,5.329690595903945,29.953651695173797
Jeremy Peña,HOU,hitter,SS,atc,21636,665161,589.806,539.11,,76.0861,16.4209,65.2312,17.1594,0.273207,,,,,,2.3908630962011017,1.34920095857583,2.114800069822359,1.656461031388582,0.9731718523423787,0.0,0.0,0.0,0.0,0.0,8.484497008330251,4.178231327231967,23.482279810755767
Shea Langeliers,ATH,hitter,C,atc,25816,669127,525.121,477.658,,69.2838,29.1747,76.0272,5.48314,0.253436,,,,,,2.177113567190037,2.397099623416638,2.4648071454825056,0.5293080025902996,0.3884079659208386,0.0,0.0,0.0,0.0,0.0,7.956736304600319,3.650470623502035,20.516186373722952
Alejandro Kirk,TOR,hitter,C,atc,22581,672386,484.104,427.833,,52.3189,15.3356,63.3638,0.925107,0.267024,,,,,,1.6440233793535983,1.2600287572749058,2.0542588311147116,0.08930403716708024,0.6395752731510088,0.0,0.0,0.0,0.0,0.0,5.687190278061306,1.3809245969630215,7.761001065712536
Maikel Garcia,KCR,hitter,3B,atc,22715,672580,639.538,576.497,,82.8861,12.3817,65.4109,26.1166,0.268023,,,,,,2.6045403520226973,1.0173255734337556,2.1206259564003624,2.521133033344,0.8907121312395767,0.0,0.0,0.0,0.0,0.0,9.154337046440391,4.848071365342107,27.246880181451406
Adley Rutschman,BAL,hitter,C/DH,atc,26288,668939,559.479,491.847,,64.4646,16.8669,64.4236,0.853125,0.251195,,,,,,2.0256792390642384,1.385845943170147,2.0886176212948357,0.08235534560668693,0.34464227648473805,0.0,0.0,0.0,0.0,0.0,5.927140425620646,1.6208747445223617,9.109556486494709
Jacob Wilson,ATH,hitter,SS,atc,33266,805779,574.73,530.738,,71.2922,10.5992,64.0533,5.81814,0.293829,,,,,,2.2402237731594625,0.8708688805203696,2.0766124693758887,0.561646804967724,1.507209933739143,0.0,0.0,0.0,0.0,0.0,7.256561861762588,2.9502961806643038,16.581102148994766
Byron Buxton,MIN,hitter,OF,atc,14161,621439,524.543,470.958,,78.4537,27.3696,72.7353,15.275,0.249163,,,,,,2.465260488978044,2.24878603218076,2.358083517067756,1.474552854672109,0.28198908025055075,0.0,0.0,0.0,0.0,0.0,8.828671973149218,4.522406292050934,25.41659416407096
Nick Kurtz,ATH,hitter,1B,atc,35110,701762,579.097,516.531,,93.9162,37.5847,95.0663,3.10395,0.261488,,,,,,2.951140572528253,3.0880958575830193,3.0820561001139533,0.2996358974310634,0.6286975514843506,0.0,0.0,0.0,0.0,0.0,10.04962597914064,5.743360298042355,32.278536780289826
Brendan Donovan,SEA,hitter,2B/OF,atc,24679,680977,569.307,505.891,,65.7751,12.9074,58.165,4.88225,0.267753,,,,,,2.0668592454986796,1.0605190003423486,1.8857133712275336,0.47130184449904444,0.7747695640829455,0.0,0.0,0.0,0.0,0.0,6.259163025650552,1.9528973445522677,10.975572747150649
Jazz Chisholm Jr.,NYY,hitter,2B/OF,atc,20454,665862,584.601,518.721,,79.6882,27.8671,76.6027,32.3805,0.238414,,,,,,2.5040523378474204,2.289662444368367,2.4834648957643153,3.1258107175587706,0.0308294787404395,0.0,0.0,0.0,0.0,0.0,10.433819874279314,6.127554193181029,34.43776345795855
Roman Anthony,BOS,hitter,OF,atc,31812,701350,609.576,525.058,,85.3534,18.8267,68.0199,10.9536,0.2656,,,,,,2.682070630447494,1.5468702499144127,2.2052099190158985,1.0573919573771793,0.747404290257105,0.0,0.0,0.0,0.0,0.0,8.23894704701209,3.9326813659138056,22.1022526060358
