fg_id,player_name,team,pos_type,position,PA,AB,IP,R,HR,RBI,SB,AVG,W,SV,ERA,WHIP,SO,sgp_atc,par_atc,dollar_value,R_batx,HR_batx,RBI_batx,SB_batx,AVG_batx,W_batx,SV_batx,ERA_batx,WHIP_batx,SO_batx,total_sgp_batx,par_batx,dollar_value_batx,systems
22267,Tarik Skubal,DET,pitcher,SP,,,188.109,,,,,,14.1226,0.0,2.71504,0.974302,227.722,16.901355250124272,12.285940937925833,69.04881042905848,,,,,,14.9364,0.0,2.60992,0.949417,233.356,17.694684306010625,13.079269993812186,79.37179002944109,both
27463,Garrett Crochet,BOS,pitcher,SP,,,183.03,,,,,,13.907,0.0,3.04663,1.06639,224.474,15.355019524363048,10.739605212164609,60.358174284278746,,,,,,13.1388,0.0,3.26996,1.05969,217.71,14.634018411080863,10.018604098882424,60.7980828670714,both
30279,Bryan Woo,SEA,pitcher,SP,,,183.483,,,,,,13.3607,0.0,3.40834,1.03612,185.211,13.792270813645176,9.176856501446736,51.57529472952556,,,,,,13.2054,0.0,3.40021,1.02603,189.415,13.951416520747834,9.336002208549395,56.6557007663238,both
25764,Bobby Witt Jr.,KCR,hitter,SS,659.483,598.157,,100.12,28.4727,91.9439,33.8454,0.291126,,,,,,13.351101143621582,9.044835462523299,50.83331690826389,104.505,31.2421,96.6472,37.1328,0.2916,,,,,,14.201529681685816,9.895264000587531,60.04959121664256,both
15640,Aaron Judge,NYY,hitter,OF,637.642,512.16,,107.67,46.5467,112.12,8.80528,0.290048,,,,,,13.050009432160245,8.74374375106196,49.14113682930247,105.705,49.4923,119.526,7.83279,0.286921,,,,,,13.311567102195003,9.005301421096718,54.64883696760393,both
13743,Max Fried,NYY,pitcher,SP,,,180.199,,,,,,14.1563,0.0,3.32101,1.17503,170.998,12.615483868230221,8.000069556031782,44.96157754499009,,,,,,13.5825,0.0,3.24991,1.15141,173.752,12.790911728947568,8.175497416749128,49.61315613604175,both
13510,José Ramírez,CLE,hitter,3B,648.819,574.841,,91.9541,27.7532,88.7823,33.2031,0.273206,,,,,,12.290979668679473,7.9847139875811886,44.87527697262591,91.6591,26.3471,84.2034,34.1634,0.270208,,,,,,12.025070705083937,7.718805023985653,46.84170996789822,both
22250,Logan Gilbert,SEA,pitcher,SP,,,167.796,,,,,,10.5284,0.0,3.42756,1.04643,187.772,12.463691176787185,7.848276864588745,44.10848010386432,,,,,,11.6696,0.0,3.58024,1.04823,204.699,13.099125313883754,8.483711001685315,51.48355593353428,both
23697,Julio Rodríguez,SEA,hitter,OF,660.213,600.107,,94.5235,29.8507,91.3902,28.1172,0.271433,,,,,,12.129866528071096,7.823600846972812,43.96979722470062,95.6606,28.2022,87.3291,25.7437,0.273312,,,,,,11.723437915045283,7.4171722339469985,45.01124584503286,both
25880,Hunter Brown,HOU,pitcher,SP,,,178.999,,,,,,12.1047,0.0,3.4903,1.18007,193.909,12.269742966647115,7.654328654448675,43.01846239478702,,,,,,11.786,0.0,3.7398,1.20823,189.44,11.458041365668393,6.842627053469953,41.524607871443656,both
