player_name,team,pos_type,position,projection_system,fg_id,mlbam_id,PA,AB,IP,R,HR,RBI,SB,AVG,W,SV,ERA,WHIP,SO,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,total_sgp,par,dollar_value
Aaron Judge,NYY,hitter,OF,thebatx,15640,592450,637.642,518.342,,105.705,49.4923,119.526,7.83279,0.286921,,,,,,3.3215815186208446,4.06646764806573,3.8750412861573484,0.7561285011160163,1.2923481482350643,0.0,0.0,0.0,0.0,0.0,13.311567102195003,9.005301421096718,54.64883696760393
Bobby Witt Jr.,KCR,hitter,SS,thebatx,25764,677951,659.483,598.539,,104.505,31.2421,96.6472,37.1328,0.2916,,,,,,3.283873767593504,2.566964738103389,3.1333089887681886,3.584568002747528,1.632814184473207,0.0,0.0,0.0,0.0,0.0,14.201529681685816,9.895264000587531,60.04959121664256
Cal Raleigh,SEA,hitter,C,thebatx,21534,663728,618.703,534.315,,81.292,38.7385,102.128,7.31373,0.22439,,,,,,2.5544487470954613,3.1828962684012323,3.310996908393803,0.7060216988413122,-0.3442108544800719,0.0,0.0,0.0,0.0,0.0,9.410152768251738,5.103887087153454,30.973032471015202
Julio Rodríguez,SEA,hitter,OF,thebatx,23697,677594,660.213,598.723,,95.6606,28.2022,87.3291,25.7437,0.273312,,,,,,3.0059550732716636,2.3171954809996578,2.831215534552848,2.485135602279697,1.0839362239414154,0.0,0.0,0.0,0.0,0.0,11.723437915045283,7.4171722339469985,45.01124584503286
Gunnar Henderson,BAL,hitter,SS,thebatx,26289,683002,659.777,583.114,,94.2521,24.9809,80.1243,20.6505,0.267369,,,,,,2.961695600503323,2.0525217391304347,2.5976354142567915,1.9934699656567194,0.8818014074188523,0.0,0.0,0.0,0.0,0.0,10.48712412696612,6.180858445867837,37.508652929346674
Vladimir Guerrero Jr.,TOR,hitter,1B,thebatx,19611,665489,662.728,578.528,,97.6648,31.506,98.0239,5.83913,0.299241,,,,,,3.068933302112493,2.5886477233824032,3.177941699129556,0.5636730481375811,1.8000209464314105,0.0,0.0,0.0,0.0,0.0,11.199216719193444,6.89295103809516,41.82999989584612
Corey Seager,TEX,hitter,SS,thebatx,13624,608369,526.391,453.818,,70.9381,27.9008,83.2588,1.75645,0.275494,,,,,,2.229096844293812,2.292431359123588,2.6992561236544135,0.16955668488306552,0.8712823112095388,0.0,0.0,0.0,0.0,0.0,8.261623323164418,3.955357642066134,24.00316045206999
Yordan Alvarez,HOU,hitter,DH/OF,thebatx,19556,670541,558.79,475.733,,84.2369,33.3627,92.4117,3.50988,0.291754,,,,,,2.64698671042914,2.74120095857583,2.99599378230667,0.33882183787604203,1.3014753669367873,0.0,0.0,0.0,0.0,0.0,10.024478656124469,5.7182129750261845,34.70108039761606
José Ramírez,CLE,hitter,3B,thebatx,13510,608070,648.819,575.51,,91.6591,26.3471,84.2034,34.1634,0.270208,,,,,,2.8802154351584113,2.164773707634372,2.7298801217711772,3.2979207198235767,0.9522807206964,0.0,0.0,0.0,0.0,0.0,12.025070705083937,7.718805023985653,46.84170996789822
Alejandro Kirk,TOR,hitter,C,thebatx,22581,672386,484.104,429.28,,59.343,18.025,62.447,0.29136,0.268594,,,,,,1.8647425576795498,1.480999657651489,2.0245361109437945,0.028126070031899555,0.6755543178572465,0.0,0.0,0.0,0.0,0.0,6.07395871416398,1.7676930330656955,10.727277617433897
